Source,Latitude,Longitude,Time Zone,Elevation
NASA/POWER,-90.0,0.0,14.0,2811.04
year,month,day,hour,ghi,dni,dhi,tdry,twet,Tdew,wspd,wdir,rh,pres,snow,albedo,aod
2019,1,1,0,409.469,594.039,182.062,-26.502,-26.728,-26.955,1.883,13.921,95.375,691.497,,0.789,0.0
2019,1,1,1,400.375,572.172,181.766,-26.611,-26.837,-27.064,1.935,16.899,95.375,691.479,,0.797,0.0
2019,1,1,2,408.188,555.094,196.141,-26.673,-26.9,-27.134,1.909,22.367,95.312,691.414,,0.766,0.0
2019,1,1,3,413.406,578.672,191.992,-26.705,-26.939,-27.166,1.899,29.306,95.25,691.244,,0.766,0.0
2019,1,1,4,424.273,595.297,195.758,-26.736,-26.978,-27.212,1.941,35.993,95.125,690.978,,0.789,0.0
2019,1,1,5,412.812,576.898,190.32,-26.689,-26.955,-27.22,2.009,39.634,94.688,690.662,,0.797,0.0
2019,1,1,6,430.508,653.906,176.883,-26.619,-26.908,-27.205,2.001,43.418,94.188,690.454,,0.781,0.0
2019,1,1,7,440.617,698.883,167.82,-26.611,-26.947,-27.283,1.976,50.456,93.375,690.323,,0.781,0.0
2019,1,1,8,450.086,751.094,154.984,-26.642,-27.033,-27.431,2.037,55.152,92.188,690.141,,0.781,0.0
2019,1,1,9,459.484,803.625,141.758,-26.65,-27.111,-27.58,2.144,59.323,90.875,689.946,,0.781,0.0
2019,1,1,10,469.898,882.766,118.922,-26.627,-27.158,-27.689,2.268,64.053,89.688,689.684,,0.781,0.0
2019,1,1,11,478.125,910.062,114.648,-26.775,-27.275,-27.775,2.423,65.418,90.188,689.422,,0.781,0.0
2019,1,1,12,483.359,944.977,104.75,-27.048,-27.455,-27.861,2.583,66.847,91.875,689.166,,0.773,0.0
2019,1,1,13,484.156,944.953,104.953,-27.314,-27.65,-27.986,2.81,68.642,93.312,688.889,,0.773,0.0
2019,1,1,14,490.141,1045.742,70.531,-27.541,-27.822,-28.103,3.099,68.869,94.25,688.621,,0.773,0.0
2019,1,1,15,497.68,1098.547,57.672,-27.798,-28.041,-28.291,3.566,67.593,94.875,688.296,,0.766,0.0
2019,1,1,16,497.031,1115.555,51.711,-28.119,-28.33,-28.541,3.754,66.316,95.5,687.971,,0.758,0.0
2019,1,1,17,495.242,1116.57,51.625,-28.158,-28.408,-28.658,3.977,66.255,94.812,687.667,,0.766,0.0
2019,1,1,18,492.547,1117.602,51.102,-28.025,-28.33,-28.634,4.204,66.102,93.75,687.311,,0.758,0.0
2019,1,1,19,489.555,1118.727,50.547,-27.994,-28.337,-28.689,4.359,65.318,93.0,686.968,,0.758,0.0
2019,1,1,20,486.18,1118.406,50.281,-27.978,-28.361,-28.744,4.518,63.834,92.188,686.662,,0.758,0.0
2019,1,1,21,480.992,1081.875,62.125,-27.962,-28.384,-28.798,4.62,61.962,91.562,686.366,,0.758,0.0
2019,1,1,22,476.562,1057.477,69.594,-27.947,-28.392,-28.83,4.668,60.303,91.188,686.097,,0.758,0.0
2019,1,1,23,468.414,1001.164,85.039,-27.962,-28.392,-28.822,4.449,58.208,91.375,685.821,,0.758,0.0
2019,1,2,0,458.828,927.789,104.82,-27.994,-28.392,-28.798,4.154,55.652,91.875,685.579,,0.758,0.0
