datetime,Year,Month,Day,Hour,Wspd,Tdry,DNI,DHI,GHI,rh,pressure,Albedo,EastFacing_POA,WestFacing_POA,East_Performance,West_Performance,solpos_zenith,solpos_azimuth,SouthFacing_POA,NorthFacing_POA,North_Performance,South_Performance
2021-01-01 00:00:00-03:00,2021,1,1,0,2.508474576,-30.72542373,1046.269492,74.51694915,466.4949153,65.57118644,677.3220339,0.7,732.2028017,536.434105,312.6011963,233.3635346,67.03299246,153.1796272,1158.827886,789.6402847,335.0848998,470.9741641
2021-01-01 01:00:00-03:00,2021,1,1,1,2.711666667,-30.69166667,1042.085,74.35666667,467.7083333,65.16166667,677.31,0.7,936.8665397,655.9844981,391.4067013,282.3752222,67.03353452,138.1863476,1014.477708,703.0225525,301.2187931,420.0261164
2021-01-01 02:00:00-03:00,2021,1,1,2,2.9,-30.73,1044.52,74.35833333,469.0733333,65.11666667,677.1566667,0.7,1104.049813,756.5434958,452.7423399,322.6322948,67.03307474,123.1926806,825.0269744,590.3723989,255.8717634,349.3058109
2021-01-01 03:00:00-03:00,2021,1,1,3,2.863333333,-30.61,1043.275,74.14,470.2316667,64.61166667,676.9216667,0.7,1210.436911,821.0130736,489.6267631,347.5796096,67.03188256,108.1985279,597.1020519,460.0157992,201.4642535,258.5110166
2021-01-01 04:00:00-03:00,2021,1,1,4,2.758333333,-30.64666667,1041.071667,74.34666667,353.0,64.04666667,676.8383333,0.7,1254.197305,847.4066042,504.2648084,357.6183109,67.03027824,93.20382461,360.1028069,336.4512442,148.5165096,158.7522868
2021-01-01 05:00:00-03:00,2021,1,1,5,3.126666667,-30.5,1042.338333,73.01333333,408.5966667,63.74333333,676.735,0.7,1234.965596,835.1053125,498.6331921,353.2563279,67.02861104,78.20854251,404.9502344,494.7616011,216.1557472,178.0714132
2021-01-01 06:00:00-03:00,2021,1,1,6,3.645,-30.5,1041.685,71.43666667,471.9033333,63.58666667,676.6233333,0.7,1150.696004,783.5285111,470.784282,333.8673196,67.02723542,63.21269272,531.4111906,725.4315428,310.9059245,231.7662195
2021-01-01 07:00:00-03:00,2021,1,1,7,3.51,-30.46833333,712.5,71.72166667,472.215,63.65833333,676.6,0.7,729.5789644,510.0717022,312.388049,222.7485155,67.02648695,48.21632536,477.4761203,675.1190286,290.5967218,209.0377604
2021-01-01 08:00:00-03:00,2021,1,1,8,3.185,-30.73833333,993.5266667,72.425,472.4783333,65.375,676.4583333,0.7,788.1802431,563.6612169,335.3770396,245.0649685,67.02665939,33.21952527,721.7112981,1054.194642,435.5253134,309.1790182
2021-01-01 09:00:00-03:00,2021,1,1,9,3.378333333,-30.96666667,1047.196667,72.58333333,473.2133333,67.09166667,676.2816667,0.7,597.6470072,460.1520106,259.3770608,201.9550211,67.02798471,18.22240665,820.8517778,1211.609316,492.0707285,348.5811292
2021-01-01 10:00:00-03:00,2021,1,1,10,3.276666667,-30.72666667,1048.43,72.555,473.565,65.89333333,676.06,0.7,360.25142,336.2940689,158.9912186,148.6033254,67.03061723,3.225105839,849.2995861,1258.068418,507.3249069,359.1743746
2021-01-01 11:00:00-03:00,2021,1,1,11,3.5,-30.51,1049.426667,73.01,473.0383333,65.625,676.0016667,0.7,406.1710025,496.6894531,178.7219975,217.1537377,67.03462311,348.2277709,839.4191056,1242.026183,502.1782288,355.4422774
2021-01-01 12:00:00-03:00,2021,1,1,12,3.613333333,-30.48,1049.628333,74.75166667,470.85,66.21166667,676.035,0.7,537.5495886,733.5591114,234.2947529,314.0872176,67.03997586,333.2305522,792.4304278,1163.186399,475.076185,337.2963103
2021-01-01 13:00:00-03:00,2021,1,1,13,3.076666667,-30.23166667,1052.883333,74.61833333,468.0383333,67.17666667,676.0233333,0.7,663.7505956,947.6963289,285.4309484,395.5355543,67.04655811,318.2335921,709.0499586,1024.01255,423.6564227,303.5642543
2021-01-01 14:00:00-03:00,2021,1,1,14,3.428333333,-29.96333333,1052.265,72.795,465.015,68.345,675.8366667,0.7,758.8969972,1108.643229,323.407788,454.5592488,67.05416963,303.2370148,592.8570456,828.7173456,350.6264426,256.6700385
2021-01-01 15:00:00-03:00,2021,1,1,15,3.355,-30.09833333,1051.596667,72.485,462.4383333,68.52166667,675.7966667,0.7,824.1156139,1215.634062,348.8945713,492.0428196,67.062541,288.2409181,461.6758661,599.8024717,259.5705365,202.0677147
2021-01-01 16:00:00-03:00,2021,1,1,16,3.836666667,-30.12666667,1050.211667,72.71333333,460.5566667,69.67833333,675.835,0.7,850.9299958,1260.318149,359.9249867,508.8257922,67.07135195,273.2453671,337.023555,361.3051383,159.305646,148.7791363
2021-01-01 17:00:00-03:00,2021,1,1,17,4.085,-30.14,962.7133333,101.8666667,456.8416667,70.12833333,675.9483333,0.7,818.8861361,1200.132295,347.8500138,488.7529162,67.08025322,258.2503891,500.1480681,414.5182364,182.290471,218.6474034
2021-01-01 18:00:00-03:00,2021,1,1,18,4.971666667,-29.53833333,280.2966667,312.51,419.27,71.95666667,676.1333333,0.7,561.6837372,731.3451161,244.4341031,313.662105,67.08889033,243.2559722,555.4423022,466.70024,204.5139731,241.8359142
2021-01-01 19:00:00-03:00,2021,1,1,19,4.376666667,-29.98,825.3183333,136.78,441.4083333,72.365,676.4133333,0.7,648.9642547,915.5882231,280.3053301,385.2955324,67.09692772,228.2620666,850.6870328,610.9923183,264.7804698,360.3991819
2021-01-01 20:00:00-03:00,2021,1,1,20,4.258333333,-29.83166667,1043.73,78.285,457.9483333,75.37333333,676.5,0.7,594.8086172,831.2687783,257.9295542,352.5573759,67.1040716,213.2685872,1109.64907,759.7111014,324.5084579,456.6582632
2021-01-01 21:00:00-03:00,2021,1,1,21,4.333333333,-29.46,612.3233333,219.0033333,445.4733333,75.42,676.65,0.7,463.7927886,559.2249114,202.980407,242.9903078,67.11008993,198.2754199,965.7790544,693.5842211,297.8647756,403.5328882
2021-01-01 22:00:00-03:00,2021,1,1,22,4.666666667,-28.92333333,83.74666667,370.87,395.14,77.08,676.845,0.7,426.0356383,433.8210106,186.7366304,190.0563817,67.11482821,183.2824297,643.8455553,519.6075003,226.2848699,277.55963
2021-01-01 23:00:00-03:00,2021,1,1,23,4.931666667,-28.70833333,6.515,370.2416667,360.3566667,76.81833333,676.9,0.7,426.1980136,406.9369619,186.7735142,178.536153,67.11822,168.2894692,556.2026133,468.1890578,204.6224855,241.5303764
2021-01-02 00:00:00-03:00,2021,1,2,0,4.6,-28.59830508,1.916949153,361.4542373,349.5237288,76.01186441,677.1508475,0.7,447.3749358,406.9687819,195.6086233,178.3905885,67.12029139,153.2963887,521.7521931,444.8912447,194.5543185,226.9280177
2021-01-02 01:00:00-03:00,2021,1,2,1,4.005,-28.73333333,0.966666667,354.12,341.925,75.62833333,677.3416667,0.7,472.1699953,414.8757314,205.9394115,181.6520306,67.12115928,138.3030472,485.2944792,421.1333631,184.3188047,211.4614339
2021-01-02 02:00:00-03:00,2021,1,2,2,3.776666667,-29.1,2.108333333,361.6683333,349.7383333,74.94,677.595,0.7,512.7042539,440.2359106,223.0732201,192.5647618,67.1210234,123.3093204,463.7004617,414.8317517,181.7572304,202.4957788
2021-01-02 03:00:00-03:00,2021,1,2,3,3.458333333,-29.25666667,0.79,353.1566667,340.9266667,74.755,677.725,0.7,519.3171208,440.1126458,225.7721474,192.4823585,67.12015273,108.3151105,417.5438897,389.5986414,170.9519013,182.891025
2021-01-02 04:00:00-03:00,2021,1,2,4,3.248333333,-29.07666667,0.888333333,350.7983333,339.005,74.65833333,677.9983333,0.7,525.0203656,442.1012789,227.909015,193.1396363,67.11886722,93.32035244,388.1281956,383.1552444,168.0372129,170.1669072
2021-01-02 05:00:00-03:00,2021,1,2,5,3.096666667,-28.96666667,0.366666667,341.4683333,330.24,73.86833333,678.2416667,0.7,506.8719297,428.2602814,220.2041097,187.1558687,67.11751598,78.32501793,372.9254769,390.0731564,170.8963693,163.5529371
2021-01-02 06:00:00-03:00,2021,1,2,6,3.031666667,-29.09,0.083333333,349.5933333,339.17,74.33166667,678.3716667,0.7,504.6958978,430.3944978,219.3451269,188.1059691,67.11645355,63.32911775,392.1124703,430.8979675,188.3193825,171.8113212
2021-01-02 07:00:00-03:00,2021,1,2,7,2.8,-29.31833333,2.686666667,366.4433333,358.595,74.34333333,678.6866667,0.7,503.8752397,437.6139047,219.0337855,191.2045111,67.11601574,48.33270155,430.0282594,489.6295361,213.0861335,187.9921407
2021-01-02 08:00:00-03:00,2021,1,2,8,2.32,-29.45666667,0.025,358.5883333,349.645,73.60833333,679.05,0.7,458.4775164,410.1352192,199.8854372,179.4487528,67.11649671,33.33585356,434.6568731,506.0989781,219.7970423,189.8429912
2021-01-02 09:00:00-03:00,2021,1,2,9,2.123333333,-29.435,0.0,350.6716667,341.51,73.58666667,679.2166667,0.7,411.9474783,384.6825483,180.1361535,168.5276573,67.11812897,18.33868731,434.75671,513.7789478,222.8630413,189.7939018
2021-01-02 10:00:00-03:00,2021,1,2,10,2.395,-29.67666667,0.0,350.825,341.3816667,73.88333333,679.3866667,0.7,387.3881464,382.2706069,169.8925145,167.7034271,67.12106751,3.341338411,439.7920225,522.3471175,226.7323245,192.1698056
2021-01-02 11:00:00-03:00,2021,1,2,11,2.401666667,-29.95166667,0.44,356.0533333,347.3083333,73.51,679.5416667,0.7,389.8344569,407.6297275,171.081191,178.6771327,67.12537919,348.3439543,446.12976,528.8765111,229.6307611,195.0099822
2021-01-02 12:00:00-03:00,2021,1,2,12,1.981666667,-30.00333333,14.775,359.1916667,361.12,73.12666667,679.635,0.7,409.3772994,451.8695717,179.2993328,197.281361,67.13103824,333.3466845,450.8424639,532.2124917,230.796622,196.8487614
2021-01-02 13:00:00-03:00,2021,1,2,13,1.943333333,-29.665,107.6433333,345.3633333,392.3,74.125,679.67,0.7,457.3806847,544.1359397,199.380975,235.4509648,67.13792797,318.3496711,467.9050247,563.9191153,243.5692418,203.7966976
2021-01-02 14:00:00-03:00,2021,1,2,14,1.695,-29.43666667,585.6983333,218.7133333,446.3033333,73.87,679.71,0.7,634.3879164,867.7699214,271.7528206,362.3661628,67.14584875,303.3530378,531.1663389,689.74099,293.7847236,229.7971801
2021-01-02 15:00:00-03:00,2021,1,2,15,1.296666667,-29.47,388.0683333,270.05,425.8716667,72.39166667,679.7716667,0.7,603.9221356,813.2463978,259.1931148,341.1954504,67.15453161,288.3568821,440.0070483,513.5715783,222.3251895,191.679725
2021-01-02 16:00:00-03:00,2021,1,2,16,1.643333333,-29.75,394.495,267.5066667,423.3666667,71.65666667,679.74,0.7,618.7037225,839.3766531,265.6591539,351.9257117,67.16365661,273.3612692,392.0803381,405.7797442,177.5125143,171.6862479
2021-01-02 17:00:00-03:00,2021,1,2,17,1.908333333,-29.91833333,718.2783333,178.9566667,446.3033333,71.20333333,679.8,0.7,734.7329497,1046.159586,312.1531803,428.6560292,67.17287461,258.3662264,488.0518258,419.1409542,183.3718775,212.3628002
2021-01-02 18:00:00-03:00,2021,1,2,18,1.193333333,-30.205,569.6416667,207.5566667,418.5116667,70.54,679.9183333,0.7,632.5718667,874.1422444,271.2133341,364.782943,67.18183107,243.3717422,604.5990836,478.0175186,207.9894769,259.9595669
