Source,Latitude,Longitude,Time Zone,Elevation
NASA,-90.0,-0.0,14,2811.04
Year,Month,Day,Hour,Wspd,Tdry,DHI,DNI,GHI,rh,wdir,Albedo
2003,1,1,0,0.774,-27.111,123.219,285.656,332.852,87.438,268.843,0.773
2003,1,1,1,0.663,-26.931,140.156,285.539,339.109,85.5,278.13,0.773
2007,1,1,2,3.591,-24.119,145.297,307.742,363.266,90.625,228.263,0.797
2003,1,1,3,0.65,-26.775,136.734,287.273,339.617,81.5,308.66,0.766
2003,1,1,4,0.853,-26.767,143.945,296.078,351.359,77.812,311.285,0.773
2009,1,1,5,2.286,-21.189,162.0,304.195,366.594,94.5,80.956,0.766
2009,1,1,6,2.409,-21.252,118.57,292.914,338.844,93.188,74.386,0.781
2009,1,1,7,2.555,-21.22,123.133,299.555,347.547,91.375,66.962,0.781
2009,1,1,8,2.618,-21.103,117.867,294.742,340.992,89.25,58.919,0.781
2009,1,1,9,2.617,-20.861,124.5,318.039,367.195,87.5,49.844,0.789
2009,1,1,10,2.577,-20.603,122.367,309.242,357.836,86.375,40.451,0.797
2009,1,1,11,2.448,-20.447,125.242,316.031,365.984,86.688,30.493,0.797
2009,1,1,12,2.174,-20.509,147.992,322.43,381.648,87.875,18.435,0.781
2009,1,1,13,1.819,-20.744,136.875,341.742,396.594,89.125,4.682,0.789
2009,1,1,14,1.494,-20.97,161.906,308.625,373.5,89.875,351.277,0.805
2009,1,1,15,1.132,-21.08,208.758,329.117,412.617,89.875,337.684,0.789
2007,1,1,16,2.226,-22.939,200.367,313.398,393.406,90.312,125.14,0.75
2003,1,1,17,1.345,-27.439,208.805,317.594,400.586,84.438,306.737,0.797
2003,1,1,18,1.303,-27.298,197.914,314.734,392.945,84.125,296.719,0.797
2003,1,1,19,1.215,-27.189,208.961,316.266,398.305,82.625,285.287,0.789
2003,1,1,20,1.159,-27.08,202.812,317.844,396.93,83.688,266.135,0.797
2003,1,1,21,1.141,-26.931,202.781,320.062,398.617,84.0,246.595,0.805
2003,1,1,22,1.105,-26.83,206.711,320.094,399.688,84.5,231.024,0.797
