Source,Latitude,Longitude,Time Zone,Elevation
NASA/POWER,-90.0,0.0,14.0,2811.04
year,month,day,hour,ghi,dni,dhi,tdry,twet,Tdew,wspd,wdir,rh,pres,snow,albedo,aod
2009,1,1,0,395.023,201.805,317.867,-20.611,-20.783,-20.955,2.038,331.372,96.625,695.77,,0.773,0.0
2009,1,1,1,388.203,181.844,318.82,-20.822,-20.978,-21.142,1.391,346.354,96.75,695.846,,0.773,0.0
2009,1,1,2,394.117,221.492,309.617,-20.775,-20.986,-21.189,1.062,22.036,95.938,695.852,,0.773,0.0
2009,1,1,3,383.164,254.758,285.812,-20.83,-21.056,-21.291,1.335,62.835,95.5,695.731,,0.75,0.0
2009,1,1,4,384.25,215.078,301.797,-21.048,-21.291,-21.533,1.982,80.241,95.25,695.52,,0.758,0.0
2009,1,1,5,366.594,162.0,304.195,-21.189,-21.478,-21.759,2.286,80.956,94.5,695.34,,0.766,0.0
2009,1,1,6,338.844,118.57,292.914,-21.252,-21.611,-21.962,2.409,74.386,93.188,695.285,,0.781,0.0
2009,1,1,7,347.547,123.133,299.555,-21.22,-21.681,-22.142,2.555,66.962,91.375,695.201,,0.781,0.0
2009,1,1,8,340.992,117.867,294.742,-21.103,-21.681,-22.259,2.618,58.919,89.25,695.1,,0.781,0.0
2009,1,1,9,367.195,124.5,318.039,-20.861,-21.548,-22.228,2.617,49.844,87.5,694.973,,0.789,0.0
2009,1,1,10,357.836,122.367,309.242,-20.603,-21.353,-22.103,2.577,40.451,86.375,694.878,,0.797,0.0
2009,1,1,11,365.984,125.242,316.031,-20.447,-21.181,-21.908,2.448,30.493,86.688,694.698,,0.797,0.0
2009,1,1,12,381.648,147.992,322.43,-20.509,-21.166,-21.83,2.174,18.435,87.875,694.419,,0.781,0.0
2009,1,1,13,396.594,136.875,341.742,-20.744,-21.33,-21.916,1.819,4.682,89.125,694.119,,0.789,0.0
2009,1,1,14,373.5,161.906,308.625,-20.97,-21.509,-22.048,1.494,351.277,89.875,693.816,,0.805,0.0
2009,1,1,15,412.617,208.758,329.117,-21.08,-21.627,-22.166,1.132,337.684,89.875,693.517,,0.789,0.0
2009,1,1,16,429.016,287.539,314.383,-21.048,-21.634,-22.22,0.748,323.489,89.062,693.229,,0.781,0.0
2009,1,1,17,432.406,361.766,288.867,-20.939,-21.595,-22.252,0.33,354.56,87.875,692.842,,0.781,0.0
2009,1,1,18,419.359,297.422,302.039,-21.072,-21.65,-22.236,0.818,63.925,89.125,692.386,,0.781,0.0
2009,1,1,19,429.844,370.508,284.641,-21.462,-21.861,-22.252,1.471,63.843,92.438,691.822,,0.781,0.0
2009,1,1,20,422.367,349.367,286.383,-21.705,-22.056,-22.408,2.022,56.187,93.188,691.172,,0.773,0.0
2009,1,1,21,413.555,324.289,288.172,-21.83,-22.197,-22.564,2.569,45.862,92.938,690.532,,0.773,0.0
2009,1,1,22,402.484,256.508,303.906,-21.837,-22.228,-22.611,3.12,33.77,92.688,689.871,,0.758,0.0
2009,1,1,23,390.461,280.477,283.211,-21.65,-22.048,-22.455,3.482,19.939,92.5,689.421,,0.75,0.0
2009,1,2,0,397.023,235.203,307.406,-21.369,-21.759,-22.15,3.657,5.394,92.688,689.192,,0.758,0.0
2009,1,2,1,392.18,212.414,311.406,-21.158,-21.486,-21.822,3.542,353.032,93.812,689.022,,0.758,0.0
2009,1,2,2,388.711,192.734,315.438,-21.009,-21.267,-21.533,3.233,344.587,95.125,688.894,,0.766,0.0
2009,1,2,3,387.0,242.523,294.656,-20.9,-21.111,-21.322,2.835,340.017,96.0,688.828,,0.758,0.0
2009,1,2,4,377.188,194.984,302.703,-20.845,-21.025,-21.205,2.476,340.079,96.562,688.781,,0.758,0.0
2009,1,2,5,371.805,188.523,299.453,-20.877,-21.041,-21.205,2.279,347.727,96.812,688.674,,0.766,0.0
2009,1,2,6,384.211,209.812,303.227,-20.916,-21.072,-21.236,2.368,359.055,96.812,688.557,,0.766,0.0
2009,1,2,7,359.516,131.273,308.523,-20.962,-21.142,-21.322,2.708,8.294,96.438,688.473,,0.773,0.0
2009,1,2,8,369.859,155.375,309.109,-21.072,-21.298,-21.525,3.2,14.274,95.625,688.369,,0.773,0.0
2009,1,2,9,361.266,145.672,303.945,-21.228,-21.525,-21.822,3.56,15.531,94.375,688.283,,0.773,0.0
2009,1,2,10,376.711,205.859,295.25,-21.416,-21.775,-22.134,3.646,12.875,93.312,688.214,,0.766,0.0
2009,1,2,11,409.711,303.945,288.898,-21.587,-22.017,-22.455,3.083,6.549,91.812,688.192,,0.75,0.0
2009,1,2,12,409.055,321.148,280.992,-21.705,-22.345,-22.978,2.516,353.581,88.25,688.257,,0.75,0.0
2009,1,2,13,440.945,445.953,262.836,-21.728,-22.47,-23.212,1.918,333.644,86.438,688.448,,0.75,0.0
2009,1,2,14,431.703,414.961,265.984,-21.728,-22.509,-23.283,1.351,301.759,85.812,688.689,,0.742,0.0
2009,1,2,15,452.695,648.961,193.992,-21.752,-22.431,-23.111,1.112,252.838,87.375,688.952,,0.742,0.0
2009,1,2,16,462.867,720.461,176.633,-21.752,-22.47,-23.181,1.241,208.179,86.812,689.204,,0.758,0.0
2009,1,2,17,452.883,668.344,188.617,-21.744,-22.486,-23.22,1.211,180.0,86.5,689.362,,0.742,0.0
2009,1,2,18,448.25,618.0,205.32,-21.861,-22.627,-23.392,0.99,150.199,85.938,689.486,,0.75,0.0
2009,1,2,19,429.484,529.234,222.82,-21.947,-22.947,-23.955,0.809,105.11,82.0,689.613,,0.75,0.0
2009,1,2,20,432.312,568.688,211.758,-22.103,-23.197,-24.291,1.007,51.618,80.5,689.766,,0.75,0.0
2009,1,2,21,425.578,545.336,215.492,-22.502,-23.47,-24.447,1.508,20.313,82.375,689.898,,0.75,0.0
2009,1,2,22,403.938,444.375,233.789,-22.884,-23.744,-24.603,2.01,2.451,84.188,690.066,,0.75,0.0
2009,1,2,23,411.492,464.336,234.594,-23.158,-23.962,-24.759,2.277,354.289,85.188,690.221,,0.75,0.0
2009,1,3,0,407.445,431.242,243.758,-23.377,-24.142,-24.9,2.311,352.034,85.875,690.337,,0.75,0.0
2009,1,3,1,400.148,400.68,248.367,-23.548,-24.275,-25.002,2.237,352.776,86.438,690.36,,0.75,0.0
2009,1,3,2,414.938,496.688,226.82,-23.642,-24.33,-25.009,2.065,357.397,87.188,690.346,,0.766,0.0
