Source,Latitude,Longitude,Time Zone,Elevation
NASA,-90.0,-0.0,14,2811.04
Year,Month,Day,Hour,Wspd,Tdry,DNI,DHI,GHI,rh,wdir,Albedo
2010,1,1,0,2.468,-29.791,1052.141,72.742,475.305,93.062,51.425,0.75
2010,1,1,1,2.538,-29.791,1033.125,77.539,472.062,92.875,47.37,0.742
2010,1,1,2,2.659,-29.767,1012.969,84.617,471.375,92.812,42.976,0.758
2010,1,1,3,2.804,-29.72,963.477,100.016,468.469,93.0,39.233,0.75
2010,1,1,4,2.903,-29.666,913.086,116.016,466.336,93.188,36.685,0.742
2010,1,1,5,2.986,-29.666,917.914,116.836,470.641,93.875,36.06,0.75
2010,1,1,6,3.117,-29.752,887.844,125.164,469.344,95.125,37.157,0.75
2010,1,1,7,3.237,-29.822,865.008,131.094,468.547,95.75,39.221,0.758
2010,1,1,8,3.43,-29.845,755.516,160.914,457.594,95.875,42.045,0.75
2010,1,1,9,3.757,-29.814,657.961,183.727,443.719,95.688,44.494,0.75
2010,1,1,10,4.171,-29.72,685.578,188.43,460.859,95.312,45.835,0.758
2010,1,1,11,3.915,-29.462,573.234,207.062,435.883,94.312,47.588,0.758
2010,1,1,12,3.372,-29.127,588.883,215.984,451.797,93.312,46.878,0.758
2010,1,1,13,2.93,-28.861,387.156,277.312,432.594,92.625,43.055,0.758
2010,1,1,14,2.476,-28.642,273.258,250.688,360.273,92.312,38.208,0.75
2010,1,1,15,2.132,-28.494,315.797,295.297,421.719,91.938,31.36,0.758
2010,1,1,16,1.879,-28.369,218.945,305.531,392.891,91.188,23.261,0.758
2010,1,1,17,1.905,-28.353,339.125,262.117,396.781,90.938,18.658,0.75
2010,1,1,18,2.088,-28.447,496.312,230.695,426.633,91.562,21.284,0.758
2010,1,1,19,2.24,-28.517,516.016,223.133,425.516,92.125,26.744,0.758
2010,1,1,20,2.425,-28.548,534.195,215.281,423.367,92.75,33.434,0.758
2010,1,1,21,2.731,-28.509,532.086,218.812,424.703,93.125,39.428,0.758
2010,1,1,22,3.138,-28.408,535.555,218.875,424.867,93.188,43.79,0.758
2010,1,1,23,3.225,-28.33,580.0,206.375,428.352,93.125,47.848,0.758
2010,1,2,0,3.102,-28.337,574.078,208.922,427.836,92.875,50.416,0.766
2010,1,2,1,2.919,-28.4,568.398,211.742,428.062,92.875,49.232,0.766
2010,1,2,2,2.63,-28.455,544.188,217.711,424.773,93.062,45.963,0.758
2010,1,2,3,2.231,-28.486,520.789,224.039,422.516,93.375,41.45,0.75
2010,1,2,4,1.814,-28.447,429.758,258.258,422.578,93.375,34.648,0.758
2010,1,2,5,1.67,-28.392,447.906,247.297,419.344,93.375,21.403,0.75
2010,1,2,6,1.736,-28.384,310.32,293.516,413.406,93.938,8.021,0.75
2010,1,2,7,1.822,-28.345,285.164,303.82,414.688,94.625,357.788,0.75
2010,1,2,8,1.957,-28.314,255.398,314.531,414.477,95.312,350.35,0.75
2010,1,2,9,2.147,-28.306,352.633,298.141,437.008,95.938,345.458,0.75
2010,1,2,10,2.325,-28.275,319.055,283.625,409.977,96.375,342.6,0.75
2010,1,2,11,2.347,-28.095,220.648,318.648,406.43,95.75,344.159,0.758
2010,1,2,12,2.376,-27.877,352.867,271.188,412.023,94.312,346.695,0.758
2010,1,2,13,2.481,-27.712,345.562,272.805,410.938,93.25,348.372,0.758
2010,1,2,14,2.592,-27.556,208.312,333.508,416.773,92.375,348.351,0.766
2010,1,2,15,2.614,-27.408,309.32,281.547,404.961,92.062,347.75,0.766
2010,1,2,16,2.561,-27.291,187.109,334.984,409.383,91.625,347.49,0.766
2010,1,2,17,2.572,-27.291,327.414,282.398,411.977,92.062,347.188,0.758
2010,1,2,18,2.565,-27.345,149.461,323.969,382.773,93.312,348.759,0.766
2010,1,2,19,2.55,-27.361,217.828,317.617,402.758,94.312,354.726,0.766
2010,1,2,20,2.62,-27.361,303.984,273.883,391.883,94.812,2.734,0.758
2010,1,2,21,2.854,-27.353,257.102,301.086,400.219,95.0,9.772,0.758
2010,1,2,22,3.17,-27.314,209.68,305.516,385.875,94.938,13.831,0.766
2010,1,2,23,3.088,-27.173,197.641,287.516,362.883,94.562,18.435,0.766
2010,1,3,0,2.724,-27.025,258.492,287.93,386.141,94.375,24.213,0.773
2010,1,3,1,2.476,-26.97,274.109,262.031,365.969,94.062,29.072,0.766
2010,1,3,2,2.414,-26.923,360.695,260.594,397.328,93.438,33.381,0.773
